"","X","treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","log_tmonthlyincome","church_daily","church_weekly","pray_multiple","revival","wave","church_name_raw","church_name_grouped","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","choice_keep_church","choice_keep_thanks","choice_keep_street","Tinsurance","Tinsuranceinfo","Tnoinsurance","gender_fem_dummy","wave_2_dummy"
"1",1,"Insurance information",30,"Female","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,0,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,0,1,0,1,1
"2",2,"Insurance information",35,"Male","Other",0,0,0,0,0,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.210526315789474,0,1,0,0,1
"3",3,"Insurance",34,"Female","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,1,0,0,1,1
"4",4,"Insurance",29,"Female","Other",0,0,0,1,0,409.348043984563,6.01456575746626,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,0.736842105263158,0.684210526315789,1,0,0,1,1
"5",5,"Insurance information",37,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.526315789473684,0.526315789473684,0,1,0,1,1
"6",6,"Insurance information",45,"Female","Other",0,0,0,0,1,47.2324666136034,3.85508150811289,0,1,0,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.210526315789474,0.210526315789474,0,1,0,1,1
"7",7,"Insurance",22,"Female","Other",0,0,0,0,0,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.526315789473684,1,0,0,1,1
"8",8,"Insurance information",55,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.789473684210526,0,1,0,1,1
"9",9,"Insurance",38,"Male","Other",0,0,0,0,1,346.371421833092,5.84751167280309,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.473684210526316,1,0,0,0,1
"10",10,"Insurance information",24,"Female","Other",0,0,0,0,0,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.368421052631579,0.631578947368421,0.631578947368421,0,1,0,1,1
"11",11,"Insurance information",30,"Male","Ewe",0,1,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.210526315789474,0,0,1,0,0,1
"12",12,"Insurance information",22,"Male","Other",0,0,0,0,0,110.209088765075,4.70237936850009,0,1,0,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.631578947368421,0.526315789473684,0,1,0,0,1
"13",13,"Insurance information",26,"Female","Other",0,0,0,0,1,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,0,1,0,1,1
"14",14,"Insurance",25,"Female","Other",0,0,0,1,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.526315789473684,1,0,0,1,1
"15",15,"Insurance information",19,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.578947368421053,0.578947368421053,0.578947368421053,0,1,0,1,1
"16",16,"Insurance information",21,"Female","Other",0,0,0,0,0,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.526315789473684,0,1,0,1,1
"17",17,"Insurance",19,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.526315789473684,0.789473684210526,1,0,0,1,1
"18",18,"Insurance information",61,"Female","Other",0,0,0,0,0,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
"19",19,"Insurance",38,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.631578947368421,0.736842105263158,1,0,0,1,1
"20",20,"Insurance information",24,"Female","Other",0,0,0,0,1,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.578947368421053,0.473684210526316,0.368421052631579,0,1,0,1,1
"21",21,"Insurance information",58,"Female","Other",0,0,0,0,1,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.473684210526316,0,1,0,1,1
"22",22,"Insurance information",73,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.473684210526316,0,1,0,1,1
"23",23,"Insurance",32,"Female","Other",0,0,0,0,0,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.263157894736842,1,0,0,1,1
"24",24,"Insurance information",39,"Female","Ga Adangbe",0,0,1,0,1,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.368421052631579,0.368421052631579,0,1,0,1,1
"25",25,"Insurance information",53,"Female","Other",0,0,0,0,0,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,0,1,0,1,1
"26",26,"Insurance information",44,"Female","Other",0,0,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.789473684210526,0,1,0,1,1
"27",27,"Insurance",35,"Male","Ga Adangbe",0,0,1,1,1,661.254532590448,6.49413883772814,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.789473684210526,1,0,0,0,1
"28",28,"Insurance",39,"Female","Other",0,0,0,0,1,346.371421833092,5.84751167280309,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0.789473684210526,1,0,0,1,1
"29",29,"Insurance information",42,"Female","Other",0,0,0,0,1,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,0,1,0,1,1
"30",30,"Insurance",30,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.578947368421053,0.684210526315789,1,0,0,1,1
"31",31,"Insurance",45,"Female","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.526315789473684,1,0,0,1,1
"32",32,"Insurance",55,"Female","Other",0,0,0,1,1,598.277910438977,6.39405537917116,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,1,0,0,1,1
