"","treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","log_tmonthlyincome","church_daily","church_weekly","pray_multiple","revival","wave","church_name_raw","church_name_grouped","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","choice_keep_church","choice_keep_thanks","choice_keep_street","Tinsurance","Tinsuranceinfo","Tnoinsurance"
"1","Insurance information",30,"Female","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","0","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"0","1","0"
"2","Insurance information",35,"Male","Other",0,0,0,"0","0",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.210526315789474,"0","1","0"
"3","Insurance",34,"Female","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,"1","0","0"
"4","Insurance",29,"Female","Other",0,0,0,"1","0",409.348043984563,6.01456575746626,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,0.736842105263158,0.684210526315789,"1","0","0"
"5","Insurance information",37,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.526315789473684,0.526315789473684,"0","1","0"
"6","Insurance information",45,"Female","Other",0,0,0,"0","1",47.2324666136034,3.85508150811289,"0","1","0","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.210526315789474,0.210526315789474,"0","1","0"
"7","Insurance",22,"Female","Other",0,0,0,"0","0",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.526315789473684,"1","0","0"
"8","Insurance information",55,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.789473684210526,"0","1","0"
"9","Insurance",38,"Male","Other",0,0,0,"0","1",346.371421833092,5.84751167280309,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.473684210526316,"1","0","0"
"10","Insurance information",24,"Female","Other",0,0,0,"0","0",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.368421052631579,0.631578947368421,0.631578947368421,"0","1","0"
"11","Insurance information",30,"Male","Ewe",0,1,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.210526315789474,0,"0","1","0"
"12","Insurance information",22,"Male","Other",0,0,0,"0","0",110.209088765075,4.70237936850009,"0","1","0","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.631578947368421,0.526315789473684,"0","1","0"
"13","Insurance information",26,"Female","Other",0,0,0,"0","1",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,"0","1","0"
