"treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","church_daily","church_weekly","pray_multiple","travels_more_than_hour","revival","choice_keep_church","choice_keep_thanks","choice_keep_street","wave","Tinsurance","Tinsuranceinfo","Tnoinsurance","Female","Wave_2"
"Insurance information",30,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","0","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","1","0",1,1
"Insurance information",35,"Male","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.736842105263158,0.473684210526316,0.210526315789474,"2","0","1","0",0,1
"Insurance",34,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"No insurance",30,"Male","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","0","0","1",0,1
"Insurance",29,"Female","Other",0,0,0,"1","0",409.348043984563,"0","1","1","0","0",0.894736842105263,0.736842105263158,0.684210526315789,"2","1","0","0",1,1
"No insurance",22,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.473684210526316,0.736842105263158,0.578947368421053,"2","0","0","1",1,1
"No insurance",31,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.526315789473684,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"No insurance",36,"Male","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.473684210526316,0.736842105263158,0.578947368421053,"2","0","0","1",0,1
"No insurance",37,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","0","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","0","0","1",1,1
"Insurance information",37,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.789473684210526,0.526315789473684,0.526315789473684,"2","0","1","0",1,1
"Insurance information",45,"Female","Other",0,0,0,"0","1",47.2324666136034,"0","1","0","0","0",0.526315789473684,0.210526315789474,0.210526315789474,"2","0","1","0",1,1
"Insurance",22,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.526315789473684,"2","1","0","0",1,1
"No insurance",35,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","0","0","1",1,1
"Insurance information",55,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.789473684210526,"2","0","1","0",1,1
"Insurance",38,"Male","Other",0,0,0,"0","1",346.371421833092,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.473684210526316,"2","1","0","0",0,1
"No insurance",60,"Female","Other",0,0,0,"0","1",267.650644143753,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.578947368421053,"2","0","0","1",1,1
"No insurance",34,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"No insurance",50,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.894736842105263,0.894736842105263,0.894736842105263,"2","0","0","1",1,1
"Insurance information",24,"Female","Other",0,0,0,"0","0",78.7207776893391,"0","1","1","0","0",0.368421052631579,0.631578947368421,0.631578947368421,"2","0","1","0",1,1
"Insurance information",30,"Male","Ewe",0,1,0,"0","1",204.674021992282,"0","1","1","1","0",0.473684210526316,0.210526315789474,0,"2","0","1","0",0,1
"Insurance information",22,"Male","Other",0,0,0,"0","0",110.209088765075,"0","1","0","0","0",0.736842105263158,0.631578947368421,0.526315789473684,"2","0","1","0",0,1
"Insurance information",26,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","1","0",1,1
"Insurance",25,"Female","Other",0,0,0,"1","0",0,"0","1","1","0","0",0.736842105263158,0.473684210526316,0.526315789473684,"2","1","0","0",1,1
"No insurance",20,"Male","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.473684210526316,"2","0","0","1",0,1
"Insurance information",19,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.578947368421053,0.578947368421053,0.578947368421053,"2","0","1","0",1,1
"No insurance",23,"Male","Other",0,0,0,"0","0",346.371421833092,"0","1","0","0","0",0.526315789473684,0.789473684210526,0.263157894736842,"2","0","0","1",0,1
"Insurance information",21,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.526315789473684,"2","0","1","0",1,1
"No insurance",27,"Female","Other",0,0,0,"0","0",78.7207776893391,"0","1","1","0","0",0.894736842105263,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"Insurance",19,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.789473684210526,0.526315789473684,0.789473684210526,"2","1","0","0",1,1
"No insurance",24,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.736842105263158,0.789473684210526,0.631578947368421,"2","0","0","1",1,1
