"pcode","session","treatment","age","gender","activity","birthplace","accra","married","ethnicity","education","left_ghana","left_ghana_location","work_status","work_sector","income_source","income_individual","income_household","financial_decisions","care_number_minor","care_live_minor","care_number_adult","care_live_adult","care_number_elderly_parent","care_live_elderly_parent","care_number_other_family","care_live_other_family","food_weekly","transport_weekly","weekly_expense_sickness","weekly_expense_social_contributions","weekly_expense_microfinance","weekly_expense_utilities","business_investment","business_ownership","business_length","business_employees","religion","religion_birth","denomination_other","different_church","church_assistance","church_attendance","ministry_hours_ushering","ministry_hours_children","ministry_hours_choir","ministry_hours_prayer","ministry_hours_women_men","ministry_hours_youth","ministry_hours_outreach","ministry_hours_deaconess","ministry_hours_protocol","ministry_hours_pastoring","ministry_hours_home_fellowship","church_length","church_distance","church_move","church_convince","pray","food","alcohol","alcohol_reasons","family_death","spiritual_attack","church_giving","tithes","church_debt","charity","god_finances","close_friends","coworkers","business_partners","prayercamp","clubs","political_taxes","spouse","trust_ghana","trust_ghana_govt","nih","nih_reason","other_insurance","other_insurance_specify","number_churches","last_church_attend","was_last_church_revival","event_donation","next_church_attend","next_revival","influence","enum_help","n_in_session","date","revival_assignment_raw","timesurvey","weekday","experiment_date","enum","enum_gender","enum_foreign","desk","population","revival","church_revival_start","church_revival_end","revival_church","date_experiment_date","was_revival_church_had_revival","was_revival","revival_compliance_type","revival_assignment","Tinsurance","Tnoinsurance","Tinsuranceinfo","church_code","higheducation","employed","ethnicity_akan","ethnicity_ewe","ethnicity_ga","ethnicity_other","married_d","church_weekly","church_daily","church_sevweekly","pray_multiple","any_insurance","tmonthlyincome","log_tmonthlyincome","tweeklyincome","wave","church_reasons_teaching","church_reasons_moral_guidance","church_reasons_atmosphere","church_reasons_friends","church_reasons_welcoming_members","church_reasons_interesting_congregation","church_reasons_marriage_partner","church_reasons_close_to_home","church_reasons_comfortable_facilities","newborn_traditional","newborn_church_blessing","newborn_baptism","newborn_outdooring","newborn_nothing","church_convince_preaching_in_church","church_convince_preaching_outside_church","church_convince_inviting","church_convince_distributing_material","church_convince_public_speaking","church_convince_prayer","help_financial_no_one","help_financial_government_or_ngo","help_financial_friends","help_financial_family","help_financial_imam","help_financial_work_superior","help_financial_bank","help_financial_other","help_family_no_one","help_family_government_or_ngo","help_family_friends","help_family_family","help_family_pastor","help_family_imam","help_family_church_member","help_family_work_superior","help_family_medical_professional","help_family_bank","help_family_other","help_health_no_one","help_health_government_or_ngo","help_health_friends","help_health_family","help_health_pastor","help_health_imam","help_health_church_member","help_health_work_superior","help_health_medical_professional","help_health_bank","help_health_other","help_financial_church_community","ministry_hours","high_ministry","choice_church_thanks","choice_church_street","choice_keep_church","choice_keep_thanks","choice_church_churchnamed","choice_churchnamed_thanks","choice_churchnamed_street","choice_street_thanks","choice_keep_churchnamed","choice_keep_street","work_status_other","work_sector_other","income_source_other","income_month_household","financial_decision_other","care_number_other_family_care","care_live_other_family_care","religion_other","church_reasons_other","church_reasons_other_details","clothing","newborn_5","newborn_other","family_death_other","help_family_other_details","help_financial_other_details","help_health_government_hospital","help_health_traditional_healer","help_health_other_details","political_affiliation","spouse_other","day","monthlyincome","market_help_3","decision_time","insurance","datetime","time","subjectidx","muslim","share","percent","high_giving","revival_Tinsurance","revival_Tnoinsurance","insurance_high","noinsurance_high","ethnicity_other_details","church_n_nonrevival","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","Dchurch20","Dchurch21","Dchurch30","church_name_raw","church_name_grouped","denomination_market","wave_endowment","wave_exchange_to_2019","cedi2019_choice_church_thanks","cedi2019_choice_church_street","cedi2019_choice_keep_church","cedi2019_choice_keep_thanks","cedi2019_choice_church_churchnamed","cedi2019_choice_churchnamed_thanks","cedi2019_choice_churchnamed_street","cedi2019_choice_street_thanks","cedi2019_choice_keep_churchnamed","cedi2019_choice_keep_street","giving_share","giving_quartile","high_giver","high_giver_church","high_giver_wave","church_ministry_children","church_ministry_choir","church_ministry_prayer","church_ministry_outreach","church_ministry_home_fellowship","church_ministry_all_ages","church_ministry_ushering_and_protocol","church_ministry_pastoring_or_deacon","ministry_count","changed_food_drink_religious","last_church_weekday","changed_church","always_church","gets_family_help_from_church","business_with_church","makes_friends_in_church","travels_more_than_hour","took_debt_for_church","moved_for_church","newborn_blessing_in_church","attended_prayercamp","believes_god_involved_in_finances","many_ministries","tries_to_convince_others","believes_spiritual_attack","charity_more_important","charity_less_important","received_assistance","is_married","has_nih","has_other_insurance","use_church_spiritually","use_church_financially","use_church_socially","costly_behaviour","use_church_network"
"027pktgr",170,"Insurance information",30,"Female","Private sector","Urban Ghana","More than 10 years","Married","Other","JHSS","No","","Employed","Manufacturing or construction","Salaried job","450 to 500","More than 1000","Joint decisions incl. me","1 people","1 people","1 people","1 people","1 people","0 people","0 people","0 people","40 to 50","Less than 5","More than 120","10 to 15","40 to 50","20 to 25","0","No","","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"1 to 3 hours","30 minutes to 1 hour","No","['2', '5']","Once per day","No","No","No","Illness","No",4.72324666136034,"Yes","No","No, charity is less important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","None","I prefer to give money directly to my church","Through school","You usually cannot be too careful dealing with people","I mostly trust the government","Yes","","No","",1,"Sunday","No","Yes","Sunday","No","Yes","Yes",6,"2019-06-10","Yes, the person was assigned  and came during the assigned week",1606,"Monday",100619,23,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-10",NA,FALSE,"complier",0,0,0,1,1,0,1,0,0,0,TRUE,1,1,0,1,0,1,299.138955219488,5.70090819861122,74.7847388048721,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.789473684210526,0.736842105263158,0.736842105263158,0.736842105263158,0.263157894736842,0.736842105263158,0.736842105263158,0.789473684210526,0.736842105263158,0.736842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,15,14,14,14,5,14,14,15,14,14,0.0157894736842105,1,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,1,0,1,0,FALSE,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,1,0,0.7931596911996,0.384783604956819,0,0.111455643025079,0.138987126874352
"02ijmrqn",166,"Insurance information",35,"Male","Unemployed","Accra","Whole life","Married","Other","JHSS","No","","Unemployed or casual worker","Unemployed","Family","150 to 200","More than 1000","Parent","1 people","1 people","0 people","0 people","0 people","0 people","0 people","0 people","10 to 15","5 to 10","More than 120","Less than 5","0","0","0","No","","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","I have always been in this church","No","More than once per week",NA,NA,1,1,1,NA,1,NA,NA,NA,1,"more than 5 hours","30 minutes to 1 hour","No","['1', '2', '5']","Multiple times per day","No","No","Yes","Illness","No",1.57441555378678,"Yes","Yes","No, charity is more important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","Yes","John Caring Foundation","Any government in power","Through family","People can almost always be trusted","I mostly trust the government","Yes","","No","",1,"Sunday","No","Yes","Monday","No","Yes","Yes",7,"2019-06-10","Yes, the person was assigned  and came during the assigned week",1059,"Monday",100619,32,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-10",NA,FALSE,"complier",0,0,0,1,1,0,0,0,0,0,TRUE,1,1,0,1,1,1,110.209088765075,4.70237936850009,27.5522721912687,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,5,1,0.473684210526316,0.210526315789474,0.736842105263158,0.473684210526316,0.526315789473684,0.473684210526316,0.210526315789474,0.789473684210526,0.736842105263158,0.210526315789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,4,14,9,10,9,4,15,14,4,0.0142857142857143,1,0,0,0,0,1,1,1,1,1,0,0,5,1,FALSE,0,1,1,0,FALSE,0,1,0,1,1,1,1,TRUE,0,1,0,0,1,1,0,0.854563007349898,0,0,0.344630674596037,0
"0hbd7y3g",153,"Insurance",34,"Female","Private sector","Rural Ghana","More than 10 years","Single","Other","JHSS","Yes","Cote Dvoire","Self-employed","Services","Entrepreneur","450 to 500","900 to 1000","Joint decisions incl. me","3 people","3 people","0 people","0 people","2 people","0 people","0 people","0 people","90 to 100","40 to 50","More than 120","5 to 10","40 to 50","25 to 30","450 to 500","Yes","3 to 10 years","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",4,4,4,1,2,4,1,1,4,4,1,"3 to 5 hours","Less than 30 minutes","No","['2', '5']","Multiple times per day","Yes","No","No","Illness","No",4.72324666136034,"Yes","Yes","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","Yes","Love group","I prefer to give money directly to my church","Through family","You always cannot be too careful dealing with people","I mostly mistrust the government","Yes","","No","",2,"Sunday","Yes","Yes","Wednesday","No","Yes","Yes",7,"2019-06-05","Yes, the person was assigned  and came during the assigned week",1040,"Wednesday",50619,29,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-05",NA,FALSE,"complier",0,1,0,0,1,0,1,0,0,0,TRUE,0,1,0,1,1,1,299.138955219488,5.70090819861122,74.7847388048721,2,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30,1,0.473684210526316,0.473684210526316,0.526315789473684,0.526315789473684,0.473684210526316,0.526315789473684,0.473684210526316,0.526315789473684,0.473684210526316,0.473684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,9,10,10,9,10,9,10,9,9,0.0157894736842105,1,0,0,0,0,0,0,0,1,1,0,1,3,1,FALSE,1,0,1,1,FALSE,0,1,0,1,1,1,1,TRUE,0,0,0,0,0,1,0,0.891137282365842,0.272805478348318,0.660105455921358,0.344630674596037,0.487163932273301
"0s9k3muh",175,"No insurance",30,"Male","Private sector","Rural Ghana","5 to 10 years","Single","Other","JHSS","No","","Employed","Services","Salaried job","300 to 350","300 to 350","Me","0 people","0 people","4 people","4 people","1 people","0 people","0 people","0 people","20 to 25","25 to 30","0","40 to 50","0","10 to 15","0","No","","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","I have always been in this church","No","More than once per week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 to 3 hours","30 minutes to 1 hour","No","['5']","Multiple times per day","No","No","No","Illness","No",4.72324666136034,"I do not regularly pay tithes","No","Yes, they are equally important","God blesses me with financial abundance","Yes, I try to only make friends with people from my church","Yes, I try to only seek work with people from my church","Yes, I only work or do business with people from my church","Yes","Global church","I prefer to give money directly to my church","Church","People can usually be trusted","I always mistrust the government","No","It has expired and has not been renewed since","No","",1,"Sunday","No","No","Thursday","No","Yes","Yes",7,"2019-06-12","The person was assigned, but did not come during the assigned week.",1053,"Wednesday",120619,27,1,0,NA,"church",0,NA,NA,FALSE,"2019-06-12",NA,FALSE,"defier",1,0,1,0,1,0,1,0,0,0,TRUE,0,1,0,1,1,0,204.674021992282,5.32141857690631,51.1685054980704,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,0.526315789473684,1,0.526315789473684,0.473684210526316,0.526315789473684,0.473684210526316,0.473684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,9,9,10,19,10,9,10,9,9,0.0230769230769231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,1,TRUE,0,0,0,1,1,1,0,TRUE,0,0,0,0,0,0,0,0.782353806426915,0.272805478348318,0.339894544078642,0.111455643025079,0.27898951437802
"11jgmhx8",157,"Insurance",29,"Female","Unemployed","Rural Ghana","Whole life","Single","Other","First degree","No","","Unemployed or casual worker","Unemployed","Family","600 to 700","More than 1000","Parent","1 people","1 people","0 people","0 people","0 people","0 people","0 people","0 people","60 to 70","5 to 10","More than 120","20 to 25","0","Less than 5","100 to 150","No","","","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","I have always been in this church","Yes","Weekly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1 to 3 hours","Less than 30 minutes","No","['2', '5']","Multiple times per day","No","No","No","Illness","No",1.57441555378678,"I do not regularly pay tithes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","Yes","Planned Parenthood Association of Ghana","I prefer to give money directly to my church","Through friends","People can almost always be trusted","I always trust the government","Yes","","No","",1,"Sunday","Yes","Yes","Sunday","No","Yes","No",6,"2019-06-05","Yes, the person was assigned  and came during the assigned week",1455,"Wednesday",50619,33,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-05",NA,FALSE,"complier",0,1,0,0,1,1,0,0,0,0,TRUE,0,1,0,0,1,1,409.348043984563,6.01456575746626,102.337010996141,2,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0.473684210526316,0.105263157894737,0.894736842105263,0.736842105263158,0.894736842105263,0.105263157894737,0.105263157894737,0.631578947368421,0.894736842105263,0.684210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,2,17,14,17,2,2,12,17,13,0.00384615384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,1,FALSE,0,0,0,1,1,1,0,TRUE,0,0,0,1,0,1,0,0.891137282365842,0.615216395043181,0.379696023500278,0,0.463995213616331
"1l9n4l2b",158,"No insurance",22,"Female","Student","Rural Ghana","2 to 5 years","Single","Other","SHS","No","","Student","Student","Entrepreneur","150 to 200","150 to 200","Me","0 people","0 people","0 people","0 people","1 people","0 people","0 people","0 people","35 to 40","More than 120","More than 120","Less than 5","0","20 to 25","0","No","","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","I have always been in this church","No","More than once per week",1,NA,NA,NA,1,1,NA,NA,NA,NA,1,"more than 5 hours","Less than 30 minutes","Yes","","Multiple times per day","No","No","No","Illness","No",4.72324666136034,"No","No","No, charity is more important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","No, it is not important at all","No, it is not important at all","No","None","Any government in power","Other","People can usually be trusted","I mostly trust the government","Yes","","No","",1,"Wednesday","No","Yes","Thursday","No","No","Yes",7,"2019-06-06","The person was assigned, but did not come during the assigned week.",945,"Thursday",60619,32,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-06",NA,FALSE,"defier",1,0,1,0,1,0,0,0,0,0,TRUE,0,1,0,1,1,1,110.209088765075,4.70237936850009,27.5522721912687,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0.473684210526316,0.263157894736842,0.473684210526316,0.736842105263158,0.526315789473684,0.263157894736842,0.473684210526316,0.736842105263158,0.736842105263158,0.578947368421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,5,9,14,10,5,9,14,14,11,0.0428571428571429,3,0,0,0,0,0,0,0,1,1,1,0,3,0,TRUE,0,1,1,0,FALSE,0,0,1,1,0,1,1,FALSE,0,1,0,0,0,1,0,0.7931596911996,0,0,0.366298261998331,0
"1lmpy87p",159,"No insurance",31,"Female","Private sector","Rural Ghana","5 to 10 years","Single","Other","SHS","No","","Employed","Manufacturing or construction","Salaried job","450 to 500","More than 1000","Joint decisions incl. me","1 people","0 people","2 people","0 people","2 people","0 people","0 people","0 people","90 to 100","90 to 100","More than 120","15 to 20","0","35 to 40","0","No","","","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"3 to 5 hours","30 minutes to 1 hour","No","['2', '5']","Multiple times per day","No","No","Yes","Other","Yes",4.72324666136034,"Yes","No","No, charity is more important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","None","I prefer to give money directly to my church","Through work","You always cannot be too careful dealing with people","I always mistrust the government","Yes","","No","",1,"Sunday","Yes","Yes","Sunday","No","No","Yes",8,"2019-06-06","The person was assigned, but did not come during the assigned week.",1049,"Thursday",60619,23,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-06",NA,FALSE,"defier",1,0,1,0,1,0,1,0,0,0,TRUE,0,1,0,1,1,1,299.138955219488,5.70090819861122,74.7847388048721,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.526315789473684,0.526315789473684,0.526315789473684,0.736842105263158,0.526315789473684,0.526315789473684,0.736842105263158,0.473684210526316,0.736842105263158,0.736842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,10,10,14,10,10,14,9,14,14,0.0157894736842105,1,0,0,0,0,0,0,0,0,1,0,0,1,1,FALSE,1,0,1,0,FALSE,0,0,0,1,0,1,0,TRUE,1,1,0,0,0,1,0,0.938596683849702,0,0,0.202001800534994,0
"23tizof0",173,"No insurance",36,"Male","Private sector","Rural Ghana","More than 10 years","Single","Other","SHS","No","","Self-employed","Services","Entrepreneur","More than 1000","More than 1000","Me","1 people","1 people","1 people","1 people","1 people","0 people","0 people","0 people","More than 120","35 to 40","More than 120","10 to 15","0","30 to 35","0","Yes","3 to 10 years","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"1 to 3 hours","Less than 30 minutes","No","['5']","Multiple times per day","No","No","Yes","Illness","Yes",23.6162333068017,"Yes","No","No, charity is more important","God blesses me with financial abundance","No, it is not important at all","No, it is not important at all","No, it is not important at all","Yes","NDC Ashaiman Keep-fit","I prefer to give money directly to my church","Through work","You usually cannot be too careful dealing with people","I mostly mistrust the government","Yes","","No","",2,"Sunday","No","Yes","Tuesday","No","No","Yes",8,"2019-06-11","Yes, the person was assigned  and came during the assigned week",1218,"Tuesday",110619,23,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-11",NA,FALSE,"complier",0,0,1,0,1,0,1,0,0,0,TRUE,0,1,0,1,1,1,661.254532590448,6.49413883772814,165.313633147612,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.736842105263158,0.368421052631579,0.473684210526316,0.736842105263158,0.736842105263158,0.736842105263158,0.368421052631579,0.736842105263158,0.473684210526316,0.578947368421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,14,7,9,14,14,14,7,14,9,11,0.0357142857142857,3,0,0,0,0,0,0,0,0,1,0,0,1,1,FALSE,1,0,0,0,FALSE,0,0,0,0,1,1,0,TRUE,1,1,0,0,0,1,0,1,0,0,0.202001800534994,0
"28y6kpth",171,"No insurance",37,"Female","Unemployed","Rural Ghana","More than 10 years","Married","Other","No schooling","No","","Inactive(e.g. housewife)","Unemployed","Family","150 to 200","800 to 900","Spouse","0 people","0 people","0 people","0 people","0 people","0 people","0 people","0 people","35 to 40","15 to 20","More than 120","0","0","0","0","No","","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"1 to 3 hours","30 minutes to 1 hour","No","['5']","Once per day","No","No","Yes","Old age","No",4.72324666136034,"No","No","No, charity is more important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","None","I prefer to give money directly to my church","Through family","You usually cannot be too careful dealing with people","I mostly trust the government","Yes","","No","",1,"Sunday","No","Yes","Sunday","No","No","Yes",5,"2019-06-11","Yes, the person was assigned  and came during the assigned week",1024,"Tuesday",110619,23,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-11",NA,FALSE,"complier",0,0,1,0,1,0,0,0,0,0,TRUE,1,1,0,1,0,1,110.209088765075,4.70237936850009,27.5522721912687,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.526315789473684,0.526315789473684,0.736842105263158,0.736842105263158,0.526315789473684,0.526315789473684,0.526315789473684,0.473684210526316,0.736842105263158,0.526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,10,14,14,10,10,10,9,14,10,0.0428571428571429,3,0,0,0,0,0,0,0,0,1,0,0,1,1,FALSE,1,0,0,0,FALSE,0,0,0,1,0,1,0,TRUE,0,1,0,0,1,1,0,0.829733966215544,0,0,0.202001800534994,0
"2a3pm39x",161,"Insurance information",37,"Female","Other","Rural Ghana","More than 10 years","Married","Other","Primary","No","","Self-employed","Services","Entrepreneur","250 to 300","More than 1000","Joint decisions incl. me","3 people","3 people","0 people","0 people","0 people","0 people","0 people","0 people","40 to 50","40 to 50","More than 120","0","0","35 to 40","350 to 400","Yes","1 to 3 years","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"3 to 5 hours","30 minutes to 1 hour","No","['5']","Multiple times per day","No","No","Yes","Illness","No",7.87207776893391,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","None","I prefer to give money directly to my church","Through family","You always cannot be too careful dealing with people","I mostly trust the government","No","Financial difficulties","No","",1,"Sunday","Yes","Yes","Sunday","No","Yes","Yes",9,"2019-06-06","The person was not assigned to any session this week",1302,"Thursday",60619,23,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-06",NA,FALSE,"showed_up",NA,0,0,1,1,0,1,0,0,0,TRUE,1,1,0,1,1,0,173.185710916546,5.15436449224315,43.2964277291365,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.526315789473684,0.473684210526316,0.789473684210526,0.526315789473684,0.526315789473684,0.526315789473684,0.473684210526316,0.526315789473684,0.526315789473684,0.526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,9,15,10,10,10,9,10,10,10,0.0454545454545455,3,0,1,0,0,0,1,0,0,1,0,0,2,1,FALSE,1,0,0,0,FALSE,0,0,0,0,0,1,0,TRUE,0,0,0,0,1,0,0,0.829733966215544,0,0,0.202001800534994,0
